,,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17
"T1 North Shore, Northern and Western Line",Adult,"8,375,611","9,482,280","8,953,427","8,775,454","9,219,217","8,032,385","7,772,657","8,441,294"
"T1 North Shore, Northern and Western Line",Child/Youth,"431,728","369,949","424,461","437,453","403,574","504,498","551,259","393,036"
"T1 North Shore, Northern and Western Line",Concession,"621,821","1,081,357","855,496","839,388","677,802","524,636","488,438","606,851"
"T1 North Shore, Northern and Western Line",Employee,"106,051","125,604","123,873","117,316","129,469","115,581","97,400","109,882"
"T1 North Shore, Northern and Western Line",Free Travel,"9,629","11,668","11,463","11,957","12,852","11,117","9,935","11,361"
"T1 North Shore, Northern and Western Line",School Student,"220,096","508,600","379,647","341,859","461,194","175,288","30,333","463,401"
"T1 North Shore, Northern and Western Line",Senior/Pensioner,"879,719","986,233","956,893","970,569","1,000,833","922,094","851,769","890,235"
"T1 North Shore, Northern and Western Line",Sgl Trip Rail Adult,"20,776","80,278","81,596","81,404","82,831","60,363","76,493","72,444"
"T1 North Shore, Northern and Western Line",Sgl Trip Rail Child/Youth,"7,629","19,671","23,666","22,462","18,487","16,405","28,172","15,911"
"T2 Airport, Inner West and South Line",Adult,"5,020,028","5,566,678","5,379,582","5,324,242","5,516,312","5,120,175","4,985,648","5,159,606"
"T2 Airport, Inner West and South Line",Child/Youth,"237,328","202,140","227,600","234,057","208,880","286,051","326,220","198,066"
"T2 Airport, Inner West and South Line",Concession,"388,106","624,647","506,139","486,705","402,119","326,291","308,954","369,452"
"T2 Airport, Inner West and South Line",Employee,"66,388","75,899","75,633","73,143","80,329","73,562","62,308","67,881"
"T2 Airport, Inner West and South Line",Free Travel,"5,295","6,684","6,508","6,593","7,181","6,478","5,994","6,457"
"T2 Airport, Inner West and South Line",School Student,"84,643","199,409","146,157","135,265","180,132","73,080","11,472","179,915"
"T2 Airport, Inner West and South Line",Senior/Pensioner,"544,195","597,540","590,717","608,881","616,415","589,376","558,495","548,287"
"T2 Airport, Inner West and South Line",Sgl Trip Rail Adult,"35,532","136,056","143,380","145,756","147,644","98,859","134,011","136,952"
"T2 Airport, Inner West and South Line",Sgl Trip Rail Child/Youth,"5,906","16,389","19,433","18,080","14,404","14,402","26,144","13,796"
T3 Bankstown Line,Adult,"1,572,063","1,766,517","1,688,786","1,690,423","1,746,453","1,587,065","1,529,200","1,556,334"
T3 Bankstown Line,Child/Youth,"83,500","76,422","86,615","90,886","81,601","103,529","111,983","75,526"
T3 Bankstown Line,Concession,"129,867","215,909","174,919","168,890","139,596","111,558","104,411","121,316"
T3 Bankstown Line,Employee,"14,163","16,699","16,785","16,286","17,732","16,917","13,563","14,531"
T3 Bankstown Line,Free Travel,"1,119","1,358","1,371","1,384","1,567","1,423","1,210","1,325"
T3 Bankstown Line,School Student,"29,248","69,707","51,302","46,806","62,874","26,576","3,822","60,021"
T3 Bankstown Line,Senior/Pensioner,"227,825","255,339","251,606","258,826","261,905","246,728","235,498","227,361"
T3 Bankstown Line,Sgl Trip Rail Adult,"4,329","15,025","15,699","15,960","15,389","11,338","16,062","14,125"
T3 Bankstown Line,Sgl Trip Rail Child/Youth,"1,662","3,978","5,022","4,634","3,656","3,002","5,580","3,184"
T4 Eastern Suburbs and Illawarra Line,Adult,"3,867,739","4,388,231","4,211,483","4,041,204","4,460,049","4,145,967","3,862,888","4,088,270"
T4 Eastern Suburbs and Illawarra Line,Child/Youth,"175,469","155,423","179,055","174,329","170,349","238,354","239,328","157,210"
T4 Eastern Suburbs and Illawarra Line,Concession,"218,976","343,139","284,595","266,262","244,041","211,156","184,783","216,105"
T4 Eastern Suburbs and Illawarra Line,Employee,"45,031","51,728","51,864","50,193","55,493","52,400","43,267","46,596"
T4 Eastern Suburbs and Illawarra Line,Free Travel,"4,799","6,513","6,507","6,137","6,716","5,929","5,233","5,819"
T4 Eastern Suburbs and Illawarra Line,School Student,"72,873","172,492","125,190","116,035","153,687","62,391","10,484","154,941"
T4 Eastern Suburbs and Illawarra Line,Senior/Pensioner,"424,955","477,728","470,251","464,125","508,268","484,715","426,038","444,285"
T4 Eastern Suburbs and Illawarra Line,Sgl Trip Rail Adult,"9,168","38,711","40,661","39,913","44,683","30,523","42,179","38,877"
T4 Eastern Suburbs and Illawarra Line,Sgl Trip Rail Child/Youth,"2,565","7,775","10,189","9,524","9,094","8,134","13,180","7,605"
T5 Cumberland Line,Adult,"321,209","372,621","357,935","348,866","362,193","322,216","306,712","333,551"
T5 Cumberland Line,Child/Youth,"13,509","12,038","14,306","15,388","13,576","19,812","21,546","12,851"
T5 Cumberland Line,Concession,"28,523","52,601","40,999","39,058","30,748","23,562","21,629","28,417"
T5 Cumberland Line,Employee,"2,806","3,322","3,327","3,009","3,434","2,840","2,520","3,036"
T5 Cumberland Line,Free Travel,106,134,138,136,148,116,83,113
T5 Cumberland Line,School Student,"7,683","18,138","13,375","12,027","15,867","6,479",974,"15,595"
T5 Cumberland Line,Senior/Pensioner,"47,441","53,367","52,309","53,046","54,356","51,098","47,381","47,622"
T5 Cumberland Line,Sgl Trip Rail Adult,325,"2,266","2,139","2,153","2,200","1,749","2,169","1,856"
T5 Cumberland Line,Sgl Trip Rail Child/Youth,85,457,589,528,400,368,719,344
T6 Carlingford Line,Adult,"31,104","40,114","35,836","33,903","36,308","30,713","28,167","31,488"
T6 Carlingford Line,Child/Youth,788,"1,598",882,973,797,"1,036","1,039",943
T6 Carlingford Line,Concession,"2,133","5,146","3,480","3,183","2,209","1,508","1,267","1,895"
T6 Carlingford Line,Employee,177,231,214,248,278,182,209,221
T6 Carlingford Line,Free Travel,12,13,25,23,21,19,21,28
T6 Carlingford Line,School Student,372,821,561,583,905,365,49,911
T6 Carlingford Line,Senior/Pensioner,"3,095","3,726","3,829","3,563","3,757","3,594","2,855","2,951"
T6 Carlingford Line,Sgl Trip Rail Adult,10,77,63,46,75,42,50,37
T6 Carlingford Line,Sgl Trip Rail Child/Youth,5,4,9,3,3,2,7,3
T7 Olympic Park Line,Adult,"120,939","124,528","102,953","116,220","104,148","99,815","88,791","104,260"
T7 Olympic Park Line,Child/Youth,"7,781","5,902","5,983","6,609","11,410","7,342","6,079","3,735"
T7 Olympic Park Line,Concession,"7,895","11,670","8,767","9,345","5,889","7,268","4,658","5,628"
T7 Olympic Park Line,Employee,456,574,507,582,440,434,359,459
T7 Olympic Park Line,Free Travel,36,73,49,43,33,43,37,43
T7 Olympic Park Line,School Student,"1,181","2,573","1,779","1,630","2,450",974,134,"2,183"
T7 Olympic Park Line,Senior/Pensioner,"8,416","8,555","8,625","11,143","8,270","7,761","7,183","8,076"
T7 Olympic Park Line,Sgl Trip Rail Adult,292,"1,717","1,130","1,306","1,130",787,894,929
T7 Olympic Park Line,Sgl Trip Rail Child/Youth,65,214,297,306,270,165,253,114
Blue Mountains Line,Adult,"521,289","578,591","570,139","571,578","585,146","541,450","519,892","541,040"
Blue Mountains Line,Child/Youth,"36,339","28,551","34,957","38,515","31,926","46,295","54,139","28,512"
Blue Mountains Line,Concession,"45,839","73,097","59,718","56,792","46,463","36,998","33,541","42,191"
Blue Mountains Line,Employee,"10,462","12,144","11,751","11,380","12,667","11,088","9,691","10,840"
Blue Mountains Line,Free Travel,935,"1,180","1,110","1,037","1,180","1,075",892,989
Blue Mountains Line,School Student,"14,484","32,148","24,507","21,819","28,633","11,745","1,948","30,234"
Blue Mountains Line,Senior/Pensioner,"99,203","106,780","108,399","116,759","114,218","105,694","98,087","98,840"
Blue Mountains Line,Sgl Trip Rail Adult,"1,357","5,440","6,429","6,176","6,093","5,660","6,082","5,072"
Blue Mountains Line,Sgl Trip Rail Child/Youth,630,"1,456","2,045","1,875","1,444","1,667","2,542","1,229"
Central Coast Newcastle Line,Adult,"1,024,381","1,125,005","1,089,588","1,050,393","1,125,704","997,940","981,495","1,044,851"
Central Coast Newcastle Line,Child/Youth,"75,581","56,863","71,651","71,613","68,395","84,096","101,765","63,312"
Central Coast Newcastle Line,Concession,"85,392","145,408","115,911","114,729","94,743","70,240","64,136","79,115"
Central Coast Newcastle Line,Employee,"22,439","24,841","25,102","23,649","26,178","23,029","20,756","22,298"
Central Coast Newcastle Line,Free Travel,"1,944","2,488","2,464","2,298","2,639","2,204","2,038","2,366"
Central Coast Newcastle Line,School Student,"64,398","96,143","71,312","64,751","84,249","35,128","6,405","84,235"
Central Coast Newcastle Line,Senior/Pensioner,"205,584","219,063","223,718","224,059","241,447","218,812","205,243","209,822"
Central Coast Newcastle Line,Sgl Trip Rail Adult,"2,059","11,738","13,941","13,403","13,934","12,887","14,376","11,801"
Central Coast Newcastle Line,Sgl Trip Rail Child/Youth,672,"2,394","3,710","3,351","2,891","3,319","5,494","2,265"
Hunter Line,Adult,"32,385","29,638","36,815","35,338","39,003","33,645","34,429","37,814"
Hunter Line,Child/Youth,"3,408","2,735","4,377","4,585","4,008","5,214","6,875","4,296"
Hunter Line,Concession,"6,695","12,353","9,539","10,839","7,721","4,509","4,488","6,537"
Hunter Line,Employee,667,562,709,718,801,636,603,655
Hunter Line,Free Travel,104,94,93,86,111,95,87,83
Hunter Line,School Student,"7,567","5,051","4,345","3,837","4,740","1,962",360,"3,885"
Hunter Line,Senior/Pensioner,"16,415","14,210","17,810","17,236","19,104","16,882","16,934","17,165"
Hunter Line,Sgl Trip Rail Adult,353,584,767,782,842,637,662,631
Hunter Line,Sgl Trip Rail Child/Youth,188,268,400,392,252,269,532,281
South Coast Line,Adult,"514,209","601,908","577,254","561,040","613,573","562,513","527,053","559,022"
South Coast Line,Child/Youth,"34,687","29,114","35,982","35,849","33,890","46,607","53,188","30,804"
South Coast Line,Concession,"46,861","83,084","65,873","63,637","51,338","40,251","35,845","44,851"
South Coast Line,Employee,"7,087","8,639","8,581","8,229","9,288","8,455","7,313","8,204"
South Coast Line,Free Travel,701,900,823,760,947,879,883,877
South Coast Line,School Student,"13,161","31,254","22,693","21,211","28,255","10,965","1,755","29,760"
South Coast Line,Senior/Pensioner,"92,465","106,687","106,706","107,173","116,270","103,599","96,886","100,973"
South Coast Line,Sgl Trip Rail Adult,"1,526","6,023","6,597","6,336","6,792","5,488","6,240","5,708"
South Coast Line,Sgl Trip Rail Child/Youth,446,"1,341","1,751","1,656","1,259","1,452","2,310",946
Southern Highlands Line,Adult,"40,891","47,432","48,956","48,159","49,278","45,712","44,925","45,945"
Southern Highlands Line,Child/Youth,"5,805","4,908","6,399","6,687","5,718","7,910","9,036","5,309"
Southern Highlands Line,Concession,"5,202","7,955","6,130","6,233","4,658","3,361","2,995","4,306"
Southern Highlands Line,Employee,895,915,950,849,926,882,843,872
Southern Highlands Line,Free Travel,180,178,236,214,220,159,201,197
Southern Highlands Line,School Student,792,"2,001","1,526","1,347","1,758",645,110,"1,775"
Southern Highlands Line,Senior/Pensioner,"16,132","17,301","20,765","18,832","18,968","17,671","16,559","16,960"
Southern Highlands Line,Sgl Trip Rail Adult,90,607,582,612,582,475,634,482
Southern Highlands Line,Sgl Trip Rail Child/Youth,47,127,236,179,117,168,275,93
Grand Total,Total,"27,614,223","32,415,455","30,661,024","30,113,314","31,332,512","28,019,004","26,720,739","28,732,990"
<?xml version="1.0" encoding="utf-8"?>
<result>DownloadedTrain_MonthlyTrips_CardType_Line_toFeb17.csv</result>
